customer_id,operator,plan_type,region,customer_segment,device_type,network_type,internet_plan,payment_method,tenure_months,monthly_bill_bdt,call_minutes_monthly,sms_count_monthly,data_usage_gb_monthly,roaming_enabled,vas_subscribed,auto_renewal,activation_date,last_recharge_date,complaint_type,nps_score,churned
BD0000001,Grameenphone,Prepaid,Dhaka,Student,Smartphone (Premium),2G,1GB/day,Auto Debit,73,285.88,41.9,35,0.38,0,0,0,17/08/2022,08/01/2022,No Complaint,5,1
BD0000002,Teletalk,Prepaid,Chattogram,Student,Smartphone (Budget),4G,2GB/day,Credit Card,2,464.93,181.1,25,0.721,1,0,0,21/02/2022,22/04/2022,Data Speed,9,0
BD0000003,Banglalink,Prepaid,Dhaka,Student,Feature Phone,5G,5GB/day,Mobile Banking (bKash),1,324.4,329,24,0.823,0,0,0,18/07/2023,21/06/2024,No Complaint,10,0
BD0000004,Robi,Prepaid,Chattogram,Business,Smartphone (Premium),4G,Unlimited,Rocket,14,280.97,54.5,27,0.056,0,0,0,17/05/2023,21/06/2024,No Complaint,3,0
BD0000005,Grameenphone,Prepaid,Dhaka,Urban,Smartphone (Budget),3G,5GB/day,Cash,41,518.59,3.1,39,1.661,1,0,0,03/04/2023,12/05/2023,No Complaint,5,0
BD0000006,Grameenphone,Prepaid,Dhaka,Business,Feature Phone,4G,2GB/day,Mobile Banking (bKash),1,427.85,2.6,41,0.554,0,1,1,13/10/2022,09/09/2024,No Complaint,1,0
BD0000007,Grameenphone,Postpaid,Chattogram,Business,Smartphone (Budget),4G,2GB/day,Mobile Banking (Nagad),86,800.67,47.4,32,2.978,1,1,1,29/07/2022,06/06/2024,Network Issue,10,0
BD0000008,Banglalink,Prepaid,Barisal,Student,Smartphone (Mid),4G,1GB/day,Auto Debit,17,383.89,603.3,27,1.994,0,1,0,28/06/2022,03/11/2023,No Complaint,4,0
BD0000009,Robi,Prepaid,Rajshahi,Rural,Smartphone (Mid),5G,1GB/day,Credit Card,11,206.26,26.7,41,0.171,0,1,0,14/05/2024,04/02/2024,No Complaint,9,0
BD0000010,Robi,Prepaid,Dhaka,Business,Smartphone (Premium),4G,1GB/day,Mobile Banking (bKash),23,342.11,77.3,35,1.81,0,1,1,07/03/2022,26/01/2024,Network Issue,2,0
